unique_id,n_tasks,time,mem_per_cpu,gpus,cpus_per_task,true_start_time,estimate_start_time,diff_in_s
66218769,2,02:00:00,8Gb,2,1,2022-12-02 04:03:31,2022-12-01 23:31:12,16339.0
77860487,2,02:00:00,8Gb,2,2,2022-12-02 03:59:32,2022-12-01 23:31:12,16100.0
4663803,2,04:00:00,16Gb,1,2,2022-12-02 03:55:18,2022-12-01 23:32:12,15786.0
8811516,8,02:00:00,16Gb,2,1,2022-12-02 03:46:56,2022-12-01 23:31:12,15344.0
5498166,1,08:00:00,8Gb,1,1,2022-12-01 01:31:07,2022-11-30 21:15:39,15328.0
92096288,8,08:00:00,16Gb,2,2,2022-12-02 03:46:56,2022-12-01 23:32:12,15284.0
46542492,8,04:00:00,16Gb,1,1,2022-12-02 03:42:42,2022-12-01 23:32:12,15030.0
58289962,1,04:00:00,16Gb,2,1,2022-11-30 23:26:08,2022-11-30 21:15:22,7846.0
89752211,1,02:00:00,8Gb,2,2,2022-11-30 23:26:08,2022-11-30 21:17:34,7714.0
39186909,2,04:00:00,16Gb,2,2,2022-11-30 23:21:49,2022-11-30 21:15:30,7579.0
77451952,4,04:00:00,16Gb,2,1,2022-11-30 23:17:29,2022-11-30 21:15:26,7323.0
89437545,4,01:00:00,8Gb,1,2,2022-12-02 00:10:33,2022-12-01 23:31:12,2361.0
7899648,8,08:00:00,16Gb,1,1,2022-11-30 19:04:55,2022-11-30 18:34:56,1799.0
38735585,4,08:00:00,8Gb,2,2,2022-11-30 19:04:59,2022-11-30 18:35:59,1740.0
75718835,4,01:00:00,8Gb,2,2,2022-11-30 18:59:36,2022-11-30 18:34:22,1514.0
67942282,8,04:00:00,16Gb,1,2,2022-12-02 12:04:43,2022-12-02 12:26:33,1310.0
48587087,2,04:00:00,8Gb,1,1,2022-12-02 12:08:42,2022-12-02 11:50:14,1108.0
33318966,4,01:00:00,16Gb,2,2,2022-11-30 18:54:19,2022-11-30 18:35:59,1100.0
31514894,4,01:00:00,16Gb,2,2,2022-11-30 18:49:23,2022-11-30 18:35:25,838.0
59825284,1,02:00:00,8Gb,1,1,2022-12-02 12:25:37,2022-12-02 12:13:07,750.0
14363064,1,02:00:00,16Gb,2,1,2022-12-01 19:54:56,2022-12-01 19:45:07,589.0
20612111,8,08:00:00,16Gb,2,1,2022-12-03 15:03:35,2022-12-03 15:11:49,494.0
89932635,1,02:00:00,8Gb,1,1,2022-12-01 19:50:25,2022-12-01 19:42:12,493.0
75907872,1,02:00:00,8Gb,1,1,2022-12-01 19:50:26,2022-12-01 19:42:16,490.0
86302281,2,04:00:00,8Gb,2,1,2022-12-02 12:20:49,2022-12-02 12:12:50,479.0
56372365,1,01:00:00,8Gb,2,1,2022-12-02 12:04:43,2022-12-02 12:09:00,257.0
60783066,8,08:00:00,16Gb,1,1,2022-12-02 12:16:46,2022-12-02 12:12:58,228.0
87335611,1,08:00:00,8Gb,1,1,2022-12-01 19:50:24,2022-12-01 19:46:38,226.0
10144238,8,04:00:00,8Gb,2,2,2022-12-02 15:55:49,2022-12-02 15:52:13,216.0
77826195,4,04:00:00,16Gb,1,1,2022-12-01 19:50:23,2022-12-01 19:47:01,202.0
90566099,1,02:00:00,8Gb,1,1,2022-12-02 15:55:48,2022-12-02 15:52:26,202.0
98939222,2,02:00:00,8Gb,2,1,2022-12-01 19:45:31,2022-12-01 19:42:26,185.0
69757708,1,04:00:00,16Gb,1,2,2022-12-02 15:55:49,2022-12-02 15:52:45,184.0
74665619,1,02:00:00,8Gb,2,1,2022-12-01 19:45:32,2022-12-01 19:42:32,180.0
44776583,1,08:00:00,16Gb,1,1,2022-12-02 15:55:48,2022-12-02 15:53:59,109.0
62994501,1,08:00:00,8Gb,2,1,2022-12-03 16:22:21,2022-12-03 16:20:33,108.0
99706688,1,01:00:00,16Gb,1,2,2022-12-02 13:52:17,2022-12-02 13:50:36,101.0
67978854,2,04:00:00,16Gb,1,1,2022-12-02 13:52:17,2022-12-02 13:50:40,97.0
73102951,2,08:00:00,16Gb,2,1,2022-12-01 19:45:32,2022-12-01 19:47:07,95.0
66094705,8,04:00:00,8Gb,1,1,2022-12-02 13:52:17,2022-12-02 13:50:47,90.0
60235834,8,08:00:00,8Gb,2,2,2022-12-02 13:52:18,2022-12-02 13:50:52,86.0
78301987,8,08:00:00,8Gb,1,2,2022-12-01 19:45:31,2022-12-01 19:46:53,82.0
99934650,8,04:00:00,16Gb,2,2,2022-12-03 14:34:43,2022-12-03 14:33:25,78.0
93098981,2,04:00:00,16Gb,1,1,2022-12-02 13:52:17,2022-12-02 13:51:01,76.0
43403570,8,08:00:00,8Gb,1,2,2022-12-01 14:58:51,2022-12-01 14:57:43,68.0
66610456,4,04:00:00,16Gb,1,1,2022-12-01 14:58:52,2022-12-01 14:57:47,65.0
