,job_unique_id,cluster_id,submit_time,partition_id_x,account_id,req_cpus,req_mem_total,alloc_nodes,eligible_time,elapsed_time,req_mem_per_cpu,poll_time,pending_id,partition_id_y,priority_y,q_jobs_above,q_cores_above,q_mem_above,q_core_hours_above,q_p_jobs_above,q_p_cores_above,q_p_mem_above,q_p_core_hours_above,q_a_jobs_above,q_a_cores_above,q_a_mem_above,q_a_core_hours_above,q_p_a_jobs_above,q_p_a_cores_above,q_p_a_mem_above,q_p_a_core_hours_above,q_gpus_above,q_p_gpus_above,q_a_gpus_above,q_p_a_gpus_above,q_gpu_hours_above,q_p_gpu_hours_above,q_a_gpu_hours_above,q_p_a_gpu_hours_above,q_gpu_run_hours,q_p_gpu_run_hours,q_a_gpu_run_hours,q_p_a_gpu_run_hours,running_id,r_jobs_above,r_cores_above,r_mem_above,r_core_hours_above,r_p_jobs_above,r_p_cores_above,r_p_mem_above,r_p_core_hours_above,r_a_jobs_above,r_a_cores_above,r_a_mem_above,r_a_core_hours_above,r_p_a_jobs_above,r_p_a_cores_above,r_p_a_mem_above,r_p_a_core_hours_above,r_gpus_above,r_p_gpus_above,r_a_gpus_above,r_p_a_gpus_above,r_gpu_hours_above,r_p_gpu_hours_above,r_a_gpu_hours_above,r_p_a_gpu_hours_above,sshare_id,raw_share_poll,norm_share_poll,raw_use_poll,effect_use_poll,level_fs_poll,norm_use_poll,norm_use_log_poll,poll_wait_sec
0,66344919,5,2021-09-02 08:00:00,47,6806,62,2309216,241,2021-09-02 08:00:00,1126474,1840097.198657648,2021-09-02 12:00:00,71602812,19,0.0004991912133818,8902,59517,151679151,2794964.559874373,1413,53829,15297180,843245.5149996608,55,2339,33591980,392023.2819951211,157,10607,10856895,252421.2384731059,2905,633,593,435,8025.046343576276,25159.627611617285,20440.12179479253,12997.949750508107,17209.85977020899,2857.341337953936,1368.7111896617223,1410.548323046006,63672673,99,31355,67167457,1412695.497787987,2781,1624,30073464,409500.6086763807,883,3601,20820505,220030.95434354257,838,4529,30961724,68415.90062786551,132,45,7,43,13264.1222498704,9335.77522023255,4047.3921574264814,5120.679117058176,6705620,96707,0.0072686955951295,535620447,0.0163950966902099,1223.831983955587,85.0688540521095,3.3530245952518563,861976
1,68059187,5,2021-09-02 08:00:10,45,8842,3,8775868,169,2021-09-02 08:00:10,2189961,475429.9220444906,2021-09-02 12:00:00,60185169,42,0.0004173259094546,7597,124740,85758583,1392971.905037036,1469,43419,103670983,983862.1011778774,232,2815,9746477,415215.9941736478,116,54104,31808760,863523.183615278,3886,150,712,1830,13673.37212621282,14808.583757428583,6963.358978862551,31422.166889074568,11473.685827848389,4974.49473899118,5916.212192185112,5300.793297046538,68628813,2975,14521,113230049,934485.429986653,81,9517,3024003,35783.69893040436,757,620,15651413,195820.77762729072,494,154,4111037,154084.77504118448,345,19,59,24,981.2518778861976,5330.534727725591,5262.1197447625145,1046.2890208544547,8443575,2244197,0.0256372834683585,1604479054,0.0213217200277692,606.978567889867,172.1837659708521,2.0223024078323366,2117558
2,61168424,5,2021-09-02 08:00:20,56,14674,16,12513022,21,2021-09-02 08:00:20,1576107,1411662.9592559852,2021-09-02 12:00:00,38736461,32,0.0004454075346619,9139,92958,39404934,1371524.5572228937,1816,20787,81258200,1223788.6552597794,14,38313,61122322,306849.69945322914,678,54613,66910640,296343.45739091974,951,1849,2818,1292,40967.50709926381,11918.267387547545,32727.37427627249,29169.60771471601,19234.44803564848,1337.3112856581067,1097.6605711747147,108.95768052792168,65559932,1101,18481,101124781,834990.1733236134,1726,4597,31289938,5701.814672769796,908,4070,2377206,231038.54524619647,23,3743,30614324,37671.897558828576,216,118,62,4,2471.7276826317943,5999.006087026014,2925.053649312197,4777.743884070423,7316735,1337807,0.0417289974004159,1559551082,0.0118483532610274,983.5539240921356,227.19763963683567,-6.328461968372908,1479046
3,63055898,5,2021-09-02 08:00:30,41,13856,7,22780475,216,2021-09-02 08:00:30,454413,1400442.8433939382,2021-09-02 12:00:00,23599549,36,0.0005394095159456,8199,125554,193592136,1287087.127029199,403,17060,17504952,512155.833064106,149,9795,16316182,122399.99672746776,270,595,42160582,62509.33011171013,526,2386,27,805,50223.41767968213,953.283845212092,27754.448020378117,28642.21048019285,11899.641337968198,3021.830909028885,3917.5930723205074,477.02718157505205,31856105,3689,1146,90875535,841020.4239171596,121,1372,7187443,267440.3821258437,128,4529,25286342,178627.53776476718,442,3014,18553366,104446.48716547512,168,133,66,98,8305.367343547716,8741.75150861386,3868.831597755063,5666.672047166061,4790188,24652,0.0030198941311511,534159756,0.044461806936311,121.29538131341025,121.6335006403222,5.953453392014174,402012
4,64375439,5,2021-09-02 08:00:40,23,6048,11,22561943,217,2021-09-02 08:00:40,1942553,1683871.4385349706,2021-09-02 12:00:00,28827363,19,0.0005389850722545,7481,71743,434574423,3965545.747193166,1876,6829,17107889,620737.1441213638,1088,25315,9750516,95863.03360395464,654,39155,5401064,825230.1572966694,1442,3112,361,2452,8297.334633068038,16588.095288192653,24501.6309809584,29552.568489088357,10619.159894963786,6755.970464196585,4022.2968044461495,351.77038259997056,37888997,2267,26489,90280489,258944.932734412,2942,8636,22386464,444547.0388854829,1118,2178,13446939,188321.5969884117,709,696,7023413,135334.07731368215,178,79,71,12,14717.75017844747,3503.4884248632748,2833.1538881523065,2704.13576601803,10420076,468953,0.0399661223946987,2007959418,0.054815660848202,1169.0420087714886,430.2689648442825,-4.04173030105304,1871434
5,66817057,5,2021-09-02 08:00:50,56,5253,26,3919263,224,2021-09-02 08:00:50,1154683,2190856.229677404,2021-09-02 12:00:00,35050461,42,0.000490077323957,3661,10209,33952192,670041.416619643,103,29669,99059958,453273.957040653,920,34594,64139580,573637.2527594126,40,20937,49262559,224039.24158830848,3268,3282,48,2039,36569.5639480036,28029.558055516205,16500.23879972029,30096.296313816663,8440.273198570423,4732.774533132674,3518.858670176124,2839.308081362671,52958311,4315,26690,46868187,221453.0526071604,145,2371,44208482,470881.90098429617,409,5588,5847752,199972.6523930093,845,5742,6331904,60286.95722512501,24,32,25,19,14836.599270493469,8675.636852026697,2028.8559020280345,2665.303681061857,11509387,2126414,0.0384359020591411,891899247,0.0701633062942274,502.39945933130406,300.4993448750235,3.669097674515623,1050544
6,66540998,5,2021-09-02 08:01:00,46,13387,15,18226225,152,2021-09-02 08:01:00,1602695,948383.2184197436,2021-09-02 12:00:00,33455967,23,0.0002269348620825,1170,53167,322685645,5294708.274074882,2182,9089,17073312,1594957.6360773032,343,54257,14536535,798952.4350424556,957,37758,12665361,457271.8099039997,554,3512,539,2716,41175.07771007388,25111.921788820888,11827.43243606528,23201.861433607453,8710.278139929043,9414.587489430238,473.03715682145287,1987.382480483464,42402523,1028,18981,5310507,584142.9171234515,623,8545,23825439,320977.8126484452,608,4296,10848726,96620.30671016026,674,704,5861507,169162.92002456228,265,87,72,0,808.1812040902672,1541.8202629630196,4237.57428021107,415.6895765611191,7252564,263344,0.0171033835663951,825793400,0.0546559832195556,698.7462153821284,276.3312117069055,1.0943438207544638,1491865
7,59444085,5,2021-09-02 08:01:10,25,1219,70,17836611,156,2021-09-02 08:01:10,766700,661727.5219505745,2021-09-02 12:00:00,47153447,42,0.0003376715905111,4375,120446,451832598,1250422.855698771,1760,14800,28151948,963594.1497258702,203,46438,40783590,449378.02679928846,95,33472,53048397,434889.3343340768,1899,923,3458,426,41422.20867246888,4610.8174501737085,8310.471635449057,4010.4955725607592,8371.054500365792,8203.73420982461,5649.320290996076,3023.7402443966475,41374148,2406,30304,86313951,98288.1490010062,254,4372,22741133,36098.39422356571,924,2139,33077730,69693.27568244726,363,6696,19885442,186504.9825413818,163,100,33,3,5645.200774691873,2243.6890694421472,3795.9694704655594,6257.116218062003,4200464,2126227,0.0373665511081144,761826891,0.017273655822528,1011.0139924125582,126.04332673449858,1.891328470692024,459475
8,61922421,5,2021-09-02 08:01:20,55,8028,4,6459645,96,2021-09-02 08:01:20,2020140,1380606.753407878,2021-09-02 12:00:00,60273838,57,0.0004164905104781,5517,104852,62771114,5229960.741333935,871,484,99275389,443307.0128548386,572,20545,65643686,342365.42959636485,126,23653,52550962,480403.7611764384,881,1396,157,1893,6050.425754502549,7448.725719314325,5386.5555313488285,29641.61630742014,21888.86985327162,9366.630176872151,1475.9846616360603,6228.519751431253,50928679,17,8499,85552947,638670.2889205527,2132,6820,23964792,40606.14743145677,654,3107,32467956,124822.48994114842,51,5225,23827909,58495.425892050094,289,44,29,46,13210.901811841608,6689.575021840115,1570.730747106424,1175.7162082130944,9885792,61899,0.0269162374457262,651873674,0.012801336000628,1198.4090899198295,177.14355481308115,0.7954707648873587,1952857
9,61507881,5,2021-09-02 08:01:30,34,13101,53,18921443,154,2021-09-02 08:01:30,1231233,2339365.2479088083,2021-09-02 12:00:00,43693808,15,0.0003446514734706,1595,99191,401079044,1597834.7693206046,2113,41562,14632941,1413202.207431347,267,9961,10725332,993653.5423849516,606,36110,31432358,541283.8712678734,3635,2612,2655,1822,37020.13236411461,33535.07028254739,11265.405364756116,19635.264391392484,13146.276980900291,7029.069212491341,3820.209044307524,3142.948040389001,30238237,2631,31467,43060140,487070.541457634,542,195,13094358,395416.0513720581,1052,1875,22759052,137750.75615913875,964,102,24085974,94357.881394305,366,122,30,85,5259.450885605195,9641.484999347287,2672.168717405856,5806.428435171087,10020056,1869096,0.0077209008166448,1689188154,0.0259430298468469,766.6595741002292,452.9908342079183,-6.705009334694843,948628
